deviceDeploymentID,deviceID,deviceType,deviceDescription,deviceExtra,pollutant,units,dataIngestSource,dataIngestURL,dataIngestUnitID,dataIngestExtra,dataIngestDescription,locationID,locationName,longitude,latitude,elevation,countryCode,stateCode,countyName,timezone,houseNumber,street,city,zip,AQSID,fullAQSID,airnow_stationID,airnow_parameterName,airnow_monitorType,airnow_siteCode,airnow_status,airnow_agencyID,airnow_agencyName,airnow_EPARegion,airnow_GMTOffsetHours,airnow_CBSA_ID,airnow_CBSA_Name,airnow_stateAQSCode,airnow_countyAQSCode,airnow_MSAName,address,airnow_countryFIPS,airnow_stateAbbreviation,deploymentType,airnow_FIPSMSACode,airnow_countryCode,airnow_stateCode,airnow_timezone,airnow_houseNumber,airnow_street,airnow_city,airnow_zip
0001770edc620bb8_124000052001,124000052001,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,0001770edc620bb8,Charette,-72.8928,46.4425,116.8,CA,QC,,America/Toronto,,2e Rang Sud,,G0X 2K0,000052001,124000052001,000052001,PM2.5,Permanent,2001,Active,QC1,Canada-Quebec1,CA,-5,,,00,005,,"2e Rang Sud, Charette, QC G0X 2K0, Canada",,,Permanent,,,,,,,,
005afb7b5c0556d5_124000020401,124000020401,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,005afb7b5c0556d5,SOUTHAMPTON,-62.5828,46.3864,15.3,CA,PE,,America/Halifax,,Cardigan Road,,C0A 2A0,000020401,124000020401,000020401,PM2.5,Permanent,0401,Active,PE1,Canada-Prince Edward Island1,CA,-4,,,00,002,,"Cardigan Road, Cardigan, PE C0A 2A0, Canada",,,Permanent,,,,,,,,
0080f08c90cc64ea_840060731022,840060731022,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,0080f08c90cc64ea,El Cajon - Lexington Elementary School,-116.944222,32.789561,144,US,CA,San Diego,America/Los_Angeles,,South 1st Street,,92020,060731022,840060731022,060731022,PM2.5,Permanent,1022,Active,CA4,San Diego APCD,R9,-8,41740," San Diego-Carlsbad-San Marcos, CA ",06,073,,"Lexington Elementary School, South 1st Street, El Cajon, CA 92020, United States of America",,,Permanent,,,,,,,,
009a93fd79b28845_840420710007,840420710007,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,009a93fd79b28845,Lancaster,-76.2833,40.0467,100.33,US,PA,Lancaster,America/New_York,1168,Grofftown Road,,17602,420710007,840420710007,420710007,PM2.5,Permanent,0007,Active,PA1,Pennsylvania Dept. of Environmental Protection,R3,-5,29540," Lancaster, PA ",42,071,,"1168 Grofftown Road, Lancaster, PA 17602, United States of America",,,Permanent,,,,,,,,
00de8a888e1c4965_124000050314,124000050314,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,00de8a888e1c4965,Québec - Charlesbourg,-71.2572,46.8615,0,CA,QC,,America/Toronto,583,74e Rue Est,,G1H 7M4,124000050314,124000050314,124000050314,PM2.5,Permanent,0314,Active,QC1,Canada-Quebec1,CA,-5,,,,,,"583 74e Rue Est, Quebec, QC G1H 7M4, Canada",,,Permanent,,,,,,,,
01132b6183512f84_124CC0040207,124CC0040207,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,01132b6183512f84,SAINT JOHN WEST,-66.079931,45.25315,54.9,CA,NB,,America/Moncton,,Lancaster Avenue,,E2M 2V4,CC0040207,124CC0040207,CC0040207,PM2.5,Permanent,0207,Active,NB1,Canada-New Brunswick1,CA,-4,,,00,004,,"Hillcrest Baptist Church, Lancaster Avenue, Saint John, NB E2M 2V4, Canada",,,Permanent,,,,,,,,
017efa9eaf2a430c_840210670012,840210670012,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,017efa9eaf2a430c,NEWTWN,-84.5,38.065,298.51,US,KY,Fayette,America/New_York,608,Chestnut Oak Way,,40508,210670012,840210670012,210670012,PM2.5,Permanent,0012,Active,KY1,Kentucky DEP,R4,-5,30460," Lexington-Fayette, KY ",21,067,,"608 Chestnut Oak Way, Lexington, KY 40508, United States of America",,,Permanent,,,,,,,,
018592228ffbec63_840060090001,840060090001,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,018592228ffbec63,San Andreas,-120.680277,38.20185,300.1,US,CA,Calaveras,America/Los_Angeles,350,High School Street,,95249,060090001,840060090001,060090001,PM2.5,Permanent,0001,Active,CA8,California Air Resources Board,R9,-8,,,06,009,,"Calaveras High School, 350 High School Street, San Andreas, Calaveras County, CA 95249, United States of America",,,Permanent,,,,,,,,
018f29d9f731b2f0_840300530018,840300530018,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,018f29d9f731b2f0,Libby Courthouse,-115.548,48.3841,2033.1,US,MT,Lincoln,America/Denver,,Minnesota Avenue,Libby,,300530018,840300530018,300530018,PM2.5,Permanent,0018,Active,MT1,Montana DEQ,R8,-7,,,30,053,,"Big Sky Lumber Supply, Minnesota Avenue, Libby, MT, United States of America",,,Permanent,,,,,,,,
01ad816236798d81_840261530001,840261530001,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,01ad816236798d81,SENEY,-85.9503,46.2889,214.92,US,MI,Schoolcraft,America/Detroit,,Office Area Residence Road,,49883,261530001,840261530001,261530001,PM2.5,Permanent,0001,Active,MI1,"Michigan Department of Environment, Great Lakes, and Energy",R5,-5,,,26,153,,"Office Area Residence Road, Germfask Township, MI 49883, United States of America",,,Permanent,,,,,,,,
0208585ef55eb2ff_840131390003,840131390003,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,0208585ef55eb2ff,Gainesville,-83.8139,34.3003,386.1,US,GA,Hall,America/New_York,695,Fair Street,Gainesville,30501,131390003,840131390003,131390003,PM2.5,Permanent,0003,Active,GA1,Georgia Department of Natural Resources,R4,-5,23580," Gainesville, GA ",13,139,,"Fair Street School, 695 Fair Street, Gainesville, GA 30501, United States of America",,,Permanent,,,,,,,,
022996741614117e_840482030002,840482030002,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,022996741614117e,Karnack C85,-94.1681,32.6706,75.44,US,TX,Harrison,America/Chicago,,Avenue P,,75661,482030002,840482030002,482030002,PM2.5,Permanent,0002,Active,TX1,Texas Commission on Environmental Quality,R6,-6,32220," Marshall, TX ",48,203,,"Avenue P, Karnack, Harrison County, TX 75661, United States of America",,,Permanent,,,,,,,,
025c3a109c020dd8_840530610021,840530610021,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,025c3a109c020dd8,Tulalip-Totem Beach Rd,-122.285194,48.065339,9.8,US,WA,Snohomish,America/Los_Angeles,7616,Totem Beach Road,,98271,840530610021,840530610021,840530610021,PM2.5,Permanent,0021,Active,WA1,Washington Department of Ecology,R10,-8,42660," Seattle-Tacoma-Bellevue, WA ",53,061,,"7616 Totem Beach Road, Tulalip Bay, Snohomish County, WA 98271, United States of America",,,Permanent,,,,,,,,
027b1c6b135d09ba_840060530008,840060530008,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,027b1c6b135d09ba,King City AMS,-121.126371,36.209286,102.8,US,CA,Monterey,America/Los_Angeles,,Luckett Street,,93930,060530008,840060530008,060530008,PM2.5,Permanent,0008,Active,MON,Monterey Bay Unified APCD,R9,-8,,,06,053,,"San Lorenzo Elementary School, Luckett Street, King City, CA 93930, United States of America",,,Permanent,,,,,,,,
028fd1fc51cc4cea_840131850003,840131850003,,,,PM2.5,UG/M3,AirNow,https://www.airnowapi.org/aq/data/,,,,028fd1fc51cc4cea,Valdosta,-83.2933,30.8486,69.8,US,GA,Lowndes,America/New_York,,West College Street,,31602,131850003,840131850003,131850003,PM2.5,Permanent,0003,Active,GA1,Georgia Department of Natural Resources,R4,-5,46660," Valdosta, GA ",13,185,,"S L Mason School, West College Street, Valdosta, GA 31602, United States of America",,,Permanent,,,,,,,,
