datetime,121fad25495a747a_apcd.1020,1255097a8d1069dc_arb3.2015,2275481147c5c093_apcd.1021,27a9a690d3e5fea7_arb3.2067,3f17a85a8e1653c0_arb3.2001,7220aaf21ed7f3e4_apcd.1055,7c5c4524cabdf95d_arb3.2023,a56f36849142ff48_arb3.2019,c8f9f28ffb221422_arb3.2062,c9433af1b72dae1e_apcd.1019,cec6dc2148ab7bb3_arb3.2034,e7e2789cdae091ac_apcd.1029
2022-11-13T00:00:00Z,-1,-0.7,19,7,28.1,0.3,,3.7,2.3,-5,8,6
2022-11-13T01:00:00Z,1,-1.7,24,,,2.8,,0.3,0.1,1,-6.7,2
2022-11-13T02:00:00Z,7,-2.5,29,,,0.1,,,0.7,-0,3.8,3
2022-11-13T03:00:00Z,7,,26,,,3.5,,,8.4,2,1.4,12
2022-11-13T04:00:00Z,13,,33,,,4.5,,,2.4,4,-2.4,23
2022-11-13T05:00:00Z,2,,33,15.4,,5.5,,,3.1,2,1.7,
2022-11-13T06:00:00Z,6,,27,,,6.7,,,6.6,5,-1.6,
2022-11-13T07:00:00Z,-0,,20,,,5.4,,,5.9,12,-5.5,
2022-11-13T08:00:00Z,-4,,,,,,,,4.7,-1,1.9,
2022-11-13T09:00:00Z,-1,,,,,4.8,,,3.1,37,4,
2022-11-13T10:00:00Z,6,,,,,5.7,,,3,32,0,
2022-11-13T11:00:00Z,5,,,,,1.4,,,3.5,34,2.9,
2022-11-13T12:00:00Z,5,,,,,3.8,,,1.4,18,-2.2,
2022-11-13T13:00:00Z,10,,,,,4.6,,,5.2,18,3.6,
2022-11-13T14:00:00Z,9,,,,,6,,,1.1,14,0.2,
2022-11-13T15:00:00Z,6,,,,,5.3,,,-1.3,28,-1.3,-5
2022-11-13T16:00:00Z,-5,,6,,,6.1,,-0.1,0.3,9,-0.6,-5
2022-11-13T17:00:00Z,-5,,26,,,2.2,,-3.7,-1.6,,9.6,-5
2022-11-13T18:00:00Z,18,2.6,24,,,4.3,,1.5,5.5,21,3.8,-2
2022-11-13T19:00:00Z,1,0,6,,2.2,5.3,,3.7,2.9,8,2.8,3
2022-11-13T20:00:00Z,-3,2.3,28,-14,-0.1,7,,-0.7,3.2,-5,3,-0
2022-11-13T21:00:00Z,5,3.8,25,5.7,4,5.2,,1.6,-3.1,8,5.8,-0
2022-11-13T22:00:00Z,-5,5.8,23,3.3,6.9,8,,0.3,2.9,1,1.5,4
2022-11-13T23:00:00Z,7,3.4,-5,2.8,-0.7,6.9,,4.6,11.9,-5,6.1,-0
2022-11-14T00:00:00Z,-5,-2,-5,16.5,13.4,13.4,,6.3,-1.2,2,1.5,4
2022-11-14T01:00:00Z,-2,1.7,14,,3.8,,,0.3,-0.6,2,-2.7,6
2022-11-14T02:00:00Z,5,1.2,16,,,,,2,10.6,3,-3,-2
2022-11-14T03:00:00Z,6,2.7,15,,,12.9,,1.3,5.7,3,-0.3,10
